"movie","chapter","character","dialog"
"Harry Potter and the Deathly Hallows Part 2","Shell Cottage","Luna Lovegood","It's beautiful here."
"Harry Potter and the Deathly Hallows Part 2","Shell Cottage","Bill Weasley","It was our Aunt's. We used to come here as kids. The Order uses it now as a safe house -- what's left of us, at least."
"Harry Potter and the Deathly Hallows Part 2","Shell Cottage","Luna Lovegood","Muggles think these keep evil away. But they're wrong..."
"Harry Potter and the Deathly Hallows Part 2","Shell Cottage","Harry Potter","I need to talk to the goblin."
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Harry Potter","How are you?"
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Griphook","Alive."
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Harry Potter","You probably don't remember --"
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Harry Potter","Yes."
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Griphook","And brought me here."
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Griphook","You are a very unusual wizard."
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Harry Potter","Why did you leave Gringotts?"
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Griphook","Soon the Death Eaters will control it. That was unacceptable to me."
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Ron Weasley","Then you're on our side."
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Griphook","This is a wizard's war. I take no side."
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Griphook","It is impossible."
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Harry Potter","Alone, yes. With you, no."
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Griphook","How did you come by this sword?"
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Harry Potter","It's complicated. Why did Bellatrix Lestrange think it should be in her vault at Gringotts?"
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Griphook","It's complicated."
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Harry Potter","The sword presented itself to us in a moment of need. We didn't steal it."
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Griphook","There is a sword in Madam Lestrange's vault identical to this one, but it is a fake. It was placed there this past summer."
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Harry Potter","And she never suspected?"
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Griphook","The replica is very convincing. Only a goblin would recognize that this is the true Sword of Gryffindor."
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Ron Weasley","Who put it there? The fake."
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Griphook","It was not my place to ask, nor did I desire to. There are more than a few curious things in the vaults at Gringotts."
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Harry Potter","And in Madam Lestrange's vault as well?"
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Griphook","Perhaps."
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Griphook","I have no interest in gold."
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Harry Potter","Then what? The goblin twists the curl at his chin... then his eyes"
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Griphook","That is my price."
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Griphook","I have your word, Harry Potter, that you will give me the Sword of Gryffindor if I help you?"
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Hermione Granger","Harry, are you thinking there's a Horcrux in Bellatrix's vault?"
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Harry Potter","She was terrified when she thought we'd been in there. She kept asking you what else we'd taken. I'd bet anything there's a Horcrux there. If we find it, we can kill it. And if we kill it, we're one step closer to killing him."
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Ron Weasley","And if we find one? How're we supposed to destroy it if we've given Griphook the sword?"
"Harry Potter and the Deathly Hallows Part 2","Griphook's Price","Harry Potter","I'm still working on that part."
"Harry Potter and the Deathly Hallows Part 2","He's After You","Fleur Delacour","He's too weak."
"Harry Potter and the Deathly Hallows Part 2","He's After You","Garrick Ollivander","Forgive me if I don't get up."
"Harry Potter and the Deathly Hallows Part 2","He's After You","Harry Potter","Mr. Ollivander, I need to ask you a few questions."
"Harry Potter and the Deathly Hallows Part 2","He's After You","Garrick Ollivander","Anything, m'boy, anything."
"Harry Potter and the Deathly Hallows Part 2","He's After You","Harry Potter","Can you identify these, sir?"
"Harry Potter and the Deathly Hallows Part 2","He's After You","Garrick Ollivander","Walnut and dragon heartstring. Twelve and three quarter inches. Unyielding. This belongs to Bellatrix Lestrange."
"Harry Potter and the Deathly Hallows Part 2","He's After You","Harry Potter","And this?"
"Harry Potter and the Deathly Hallows Part 2","He's After You","Garrick Ollivander","Hawthorn. Unicorn hair. Ten inches. Reasonably pliant. This was the wand of Draco Malfoy."
"Harry Potter and the Deathly Hallows Part 2","He's After You","Harry Potter","Was? Isn't it still?"
"Harry Potter and the Deathly Hallows Part 2","He's After You","Garrick Ollivander","Perhaps not -- if you won it from him. I sense its allegiance has changed."
"Harry Potter and the Deathly Hallows Part 2","He's After You","Garrick Ollivander","The wand chooses the wizard, Mr. Potter. That much has always been clear to those of us who have studied wandlore."
"Harry Potter and the Deathly Hallows Part 2","He's After You","Harry Potter","What do you know about the Deathly Hallows, sir?"
