"movie","chapter","character","dialog"
"Harry Potter and the Prisoner of Azkaban","Under Covers Prologue","Harry Potter","Lumos Maxima. Lumos Maxima. Lumos Maxima. Lumos Maxima. Lumos Maxima!"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Petunia Dursley","Harry! Harry! Harry, open the door! Marge! How lovely to see..."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Harry Potter","Uncle Vernon, I need you to sign this form."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Vernon Dursley","What is it?"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Harry Potter","Nothing. School stuff."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Vernon Dursley","Later perhaps, if you behave."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Harry Potter","I will if she does."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Marge Dursley","Oh, you're still here, are you?"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Harry Potter","Yes."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Marge Dursley","Don't say yes in that ungrateful way. Damn good of my brother to keep you. He'd have been straight to an orphanage if he'd been dumped on my doorstep. Is that my Dudders? Is that my little neffy-pooh? Give us a kiss! Come on! Up, up!"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Vernon Dursley","Take Marge's suitcase upstairs!"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Harry Potter","Okay."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Marge Dursley","Finish that off for Mommy. Good boy, Rippy-pooh."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Vernon Dursley","Can I tempt you, Marge?"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Marge Dursley","Just a small one. Excellent nosh, Petunia. A bit more. Usually just a fry-up for me, what with 12 dogs. Just a bit more. That's a boy! Mm! You wanna try a little drop of brandy? A little drop of brandy-brandy windy-wandy for Rippy-pippy-pooh? What are you smirking at? Where did you send the boy, Vernon?"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Vernon Dursley","St. Brutus'. It's a fine institution for hopeless cases."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Marge Dursley","Do they use a cane at St. Brutus', boy?"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Harry Potter","Oh, yeah. Yeah. I've been beaten loads of times."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Marge Dursley","Excellent. I won't have this namby-pamby... wishy-washy nonsense about not beating people who deserve it. You mustn't blame yourself about how this one turned out. It's all to do with blood. Bad blood will out. What is it the boy's father did, Petunia?"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Petunia Dursley","Nothing. He didn't work. He was unemployed."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Marge Dursley","And a drunk too, no doubt?"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Harry Potter","That's a lie!"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Marge Dursley","What did you say?"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Harry Potter","My dad wasn't a drunk!"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Marge Dursley","Oh, don't worry Don't fuss, Petunia. I have a very firm grip."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Vernon Dursley","I think it's time you went to bed."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Marge Dursley","Quiet, Vernon. You, clean it up. Actually, it's nothing to do with the father. It's all to do with the mother. You see it all the time with dogs. If there's something wrong with the bitch, then there's something wrong with the pup."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Harry Potter","Shut up! Shut up!"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Marge Dursley","Mm. Right! Let me tell you... y-y-- Vernon! Vernon! Vernon, do something!"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Vernon Dursley","Ow! Ripper! Ow! Ripper, get down, boy! Down! Ripper, stop it! Stop! I've got you, Marge! I've got you! Hold on, hold on! Get off!"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Marge Dursley","Don't you dare!"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Vernon Dursley","Sorry!"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Petunia Dursley","Oh, Vernon!"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Vernon Dursley","Oh, God! Marge! Please! Marge! Come back! You bring her back! You bring her back now and you put her right!"
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Harry Potter","No! She deserved what she got! Keep away from me."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Vernon Dursley","You're not allowed to do magic outside school."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Harry Potter","Yeah? Try me."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Vernon Dursley","They won't let you back now. You've nowhere to go."
"Harry Potter and the Prisoner of Azkaban","Aunt Marge's Big Mistake","Harry Potter","I don't care. Anywhere's better than here."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Stanley Shunpike","Welcome to the Knight Bus... emergency transport for the stranded witch or wizard. My name is Stan Shunpike, and I will be your conductor for this evening. What you doing down there?"
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Harry Potter","I fell over."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Stanley Shunpike","What you fall over for?"
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Harry Potter","I didn't do it on purpose."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Stanley Shunpike","Well, come on, then. Let's not wait for the grass to grow. What you looking at?"
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Harry Potter","Nothing."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Stanley Shunpike","Well, come on, then. In. No, no, no. I'll get this. You get in. Come on. Come on. Move on, move on, move on."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Stanley Shunpike","Take her away, Ern."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Shrunken head","Yeah, take it away, Ernie. It's going to be a bumpy ride."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Stanley Shunpike","What did you say your name was again?"
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Harry Potter","I didn't."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Stanley Shunpike","Whereabouts are you headed?"
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Harry Potter","The Leaky Cauldron. That's in London."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Stanley Shunpike","You heard that Ern? The Leaky Cauldron. That's in London."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Shrunken head","The Leaky Cauldron. If you have pea soup... make sure you eat it before it eats you."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Harry Potter","But the Muggles. Can't they see us?"
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Stanley Shunpike","Muggles? They don't see nothing, do they?"
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Shrunken head","No, but if you jab them with a fork, they feel. Ernie, little old lady at 12 o'clock! Ten, nine, eight... seven, six, five... four, three, three and a half... two, one and three quarters. Yes!"
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Harry Potter","Who is that? That man."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Stanley Shunpike","Who is that? Who is...? That is Sirius Black, that is. Don't tell me you've never been hearing of Sirius Black. He's a murderer. Got himself locked up in Azkaban for it."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Harry Potter","How did he escape?"
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Stanley Shunpike","Well, that's the question, isn't it? He's the first one that done it. He was a big supporter of... You-Know-Who. I reckon you've heard of him."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Harry Potter","Yeah. Him I've heard of."
"Harry Potter and the Prisoner of Azkaban","The Knight Bus","Shrunken head","Ernie, two double-deckers at 12 o'clock. They're getting closer, Ernie. Ernie, they're right on top of us! Mind your head. Hey, guys? Guys? Why the long faces? Yeah, yeah. Nearly there. Nearly there. The Leaky Cauldron. Next stop, Knockturn Alley."
"Harry Potter and the Prisoner of Azkaban","The Leaky Cauldron","Tom","Ah, Mr. Potter, at last."
"Harry Potter and the Prisoner of Azkaban","The Leaky Cauldron","Stanley Shunpike","Take it away, Ern."
"Harry Potter and the Prisoner of Azkaban","The Leaky Cauldron","Shrunken head","Yeah, take it away, Ernie!"
"Harry Potter and the Prisoner of Azkaban","The Leaky Cauldron","Tom",": Room 11."
"Harry Potter and the Prisoner of Azkaban","The Leaky Cauldron","Harry Potter","Hedwig."
"Harry Potter and the Prisoner of Azkaban","The Leaky Cauldron","Cornelius Fudge",": Right smart bird you got there, Mr. Potter. He arrived here just five minutes before yourself."
"Harry Potter and the Prisoner of Azkaban","The Leaky Cauldron","Cornelius Fudge","As Minister for Magic, it is my duty to inform you, Mr. Potter... that earlier this evening your uncle's sister was located... a little south of Sheffield, circling a chimney stack. The Accidental Magic Reversal Department was dispatched immediately. She has been properly punctured and her memory modified. She will have no recollection of the incident whatsoever. So that's that... and no harm done."
